en,tr,split
"Cortbaoui said that Lebanon should not repeat ""the Palestinian precedent,"" pitting Palestinians once again as scapegoats, which is not new to Lebanese politics.","Cortbaoui, Lübnan'ın ""Filistin emsalini"" tekrarlamaması gerektiğini söyledi ve Filistinlileri günah keçileri olarak saymanın Lübnan siyasetinde yeni birşey olmadığını belirtti.",train
"Fat women do not get anybody horny, so it's not possible that someone sexually harassed you.",Şişman kadınlar kimseyi azdırmaz yani birinin sana cinsel tacizde bulunması imkansız.,train
She thinks it will be just like reading an undiscovered antique text.,Bunun keşfedilmemiş antik bir metni okumak gibi olacağını düşünüyor.,train
The security of northeast China is most important.,Kuzeydoğu Çin'in güvenliği çok önemlidir.,train
Take a moment to appreciate this beautiful continent we are blessed to live on.,Bize lütuf edilen bu güzel toprakların kıymetini anlamak için bir dakikanızı ayırın.,train
The deadliest Ebola outbreak ever with 700 deaths since March has hit the West Africa region hard.,Mart'tan beri 700 ölüme yol açan en amansız Ebola salgını Batı Afrika bölgesini sert vurdu.,train
"Mostafa Azizi was sentenced June 1 to five years in prison for “assembly and collusion against national security,” two years for “insulting the Supreme Leader,” and one year for “propaganda against the state.”","Mostafa Azizi 1 Haziran tarihinde; ""milli güvenliğe karşı birlik ve ihtilaftan"" beş yıl, ""Dini Lider'e hakaretten"" iki yıl ve ""devlete karşı propogandadan"" bir yıl hapse mâhkum edildi.",train
"The video, which features many prominent Lebanese personalities such as director Zeina Daccache and TV host Fouad Yammine as well as Cynthia Karam, Bruno Tabbal, Carole Abboud, Bechara Atallah, Rabih Salloum, Medea Azouri, Jana Younes, Christine Choueiri, Natacha Choufani, Yvonne el-Hachem, Pauline Haddad, Elie Youssef and André Nacouzi, calls for Lebanon to respect the Universal Declaration of Human Rights and to not discriminate against 'those who are different'.","Yönetmen Zeina Daccache ve televizyon sunucusu Fouad Yammine gibi Lübnan'ın seçkin kişiliklerinin bulunduğu videoda, 'farklı olanlara' yapılan ayrımcılığın son bulması ve İnsan Hakları Evrensel Bildirisi'ne uyulması için çağrıda bulunuluyor.",train
"A year after the army launched a coup, Thailand is still suffering from political instability.","Darbeden bir yıl sonra, Tayland hâlen politik istikrarsızlık içerisinde.",train
The happiness they feel when they are in the sea is so contagious that you really end a session with Tabra with the heart and spirit full of energy for all that these children transmit during the time they are connected with the ocean.,"""Denizdeyken yaşadıkları mutlululuk o kadar bulaşıcı ki, bu çocukların okyanusla temas halindeyken yaydığı enerji için bir seansı seve seve Tabra'yla sonlandırabilirsiniz.""",train
"We also hope that his verdict will be overruled by the appeals court,” he said.","Ayrıca bu hükmün yüksek mahkeme tarafından geçersiz kırılmasını da umuyoruz."" dedi.",train
"Looking back, the thread that binds it all is the power of words.",Geçmişe baktığımda bunları birbirine bağlayan köprü kelimelerin gücüydü.,train
"""We're all one, one culture,"" said 21-year-old student Yusor Abu-Salha last year in an interview recorded by the StoryCorps project about growing up in the United States.","""Hepimiz tekiz, tek kültürüz.""",train
"In November 2013, the local government of the Bolivian capital La Paz declared the iconic cholita as ""intangible cultural heritage"" of the city.","Kasım 2013'te, Bolivya'nın başkenti La Paz yerel yönetimi ikonik cholita'yı şehrin ""manevi kültür mirası"" ilan etti.",train
More than 150 infractions were recorded across Algeria.,Yasmine Bouchène şöyle yazdı:,train
"As part of the Satoyama Initiative, Japan's Tohoku University is working with the UNU-IAS to help revive the Matsushima ecosystem, including that of the island communities of Urato.",Satoyama Girişimi'nin bir parçası olarak Japonya'nın Tohoku Üniversitesi UNU-IAS ile Urato'daki ada topluluklarını da içeren Matsushima ekosistemini canlandırmak için birlikte çalışıyor.,train
"Comments on her public thread ranged from calling the country ""third world"" in attitude to criticising the government for ""not putting laws in place to protect all citizens"", saying, it is ""truly heartbreaking and unfortunate that members of the LGBT community cannot be themselves"".","Kamuoyuna yaptığı yorumlar, devleti "" vatandaşları tamamını korumak için yasalar koymadığı"" gerekçesiyle eleştiren tutumu ülkeye ""üçüncü dünya"" ülkesi olmasından ""LGBT topluluğunun kendileri olamamasının üzücü ve talihsiz olduğu""na uzanıyordu.",train
"These two types of weapons differ in overall size, barrel length, rate of fire, bullet caliber and in particular the effective range (dozens vs hundreds of meters).","Bunlardan birisi olan Andrej Babiš, hem Başbakan Yardımcısı hem de Maliye Bakanı olarak en güçlü iki günlük gazetenin sahibi.",train
"The word was originally derogatory, a term used to refer to indigenous women who moved to the city and adopted the lifestyle of urban mestizos, but now refers to the women born in La Paz who embrace their indigenous identity.","Kelime aslında, şehri terk edip kırsal melez yaşamını tercih eden kadınları tanımlayan aşağılayıcı bir kelimeydi, fakat şimdi La Paz'da doğmuş geleneklerine sahip çıkan kadınları tanımlıyor.",train
When we should be making politicians lives a living hell we’re bothered with all sorts of myopic issues .,Politikacılara hayatı cehenneme çevirmek yerine böyle ufak konularla uğraşıyoruz.,train
"GV: Speaking of other writers, who inspires you?",GV: Diğer yazarlardan bahsetmişken size hangisi ilham verdi?,train
"Gharib, a reader of the service wrote:",Hizmetin bir okuru olan Gharib yazdı:,train
Heartfelt prayers and condolences for the families of all those who were killed in an attack on a church in Quetta.,Ketta'daki kilise saldırısında öldürülenlerin ailelerine en içtenlikle dualarımı gönderiyor ve başsağlığı diliyorum.,train
@AbirKopty: We were ready to the eviction order so along with building #BabAlShams we went to the court & got suspending order!,"Boşaltma kararına #BabAlShams'ı kurarken hazırlıklıydık, mahkemeye gittik ve boşaltmayı yasaklayan kararı aldık!",train
An official death due to the Ebola virus has been reported in Lagos.,Lagos'ta Ebola Virüsü nedeni ile bir ölüm bildirildi.,train
"In neighbouring Nghệ An Province, locals took their demonstration to the sea.",Komşu il Nghệ An’daki yerel halk gösterilerini denize taşıdı.,train
"I am keeping my eyes open and suffering, instead of closing my eyes and being unhappy.",Gözümü yumup mutsuz olmamak için gözlerimi açıp acı çekiyorum.,train
Every nationality has its festival heritage which brings the nation together.,"Her milletin, ulusu bir araya getiren festival mirası vardır.",train
"Founded in 1991, Achour Development will be developing its “Eden Rock Resort” on the Ramlet El Bayda beach.","1991'de kurulan Achour Development, Ramlet El Bayda Sahili'nde ""Eden Rock Resort""u geliştirecektir.",train
She led the NRM party's sole candidature campaign which saw Museveni running for re-election in 2016 without being challenged in the party primaries.,NRM partisinin Museveni'nin 2016'da önseçimlerde hiç zorlanmadan yeniden seçime katıldığı tek adaylı seçim kampanyasını yürüttü.,train
I truly hope they don't see that video.,O videoyu görmemelerini içtenlikle umuyorum.,train
But improving the situation of the bakwit (evacuees) seems a bigger challenge for local leaders who are now assessing the impact of martial law and the attacks of the Maute group.,Fakat tahliye edilenlerin büyüyen durumu sıkıyönetim ve Maute örgütü saldırılarının bedelini ödeyecek olan yerel yönetimler için daha büyük bir sorun gibi görünüyor.,train
*Deadly blast rocks Yemen military base.,*Ölümcül saldırı Yemen askeri üssünü sarstı.,train
"Young video artists from Macedonia tackled the issue of free speech through a series of short videos, which were produced as part of an open competition and screened during the French Film Festival in Skopje.",The festival and the competition are part of the long-term cultural cooperation between France and Macedonia.,train
And real-time news DJ Andy Carvin reminded his 103K followers of the difficulties journalists face in the field on a daily basis:,"Ve gerçek zamanlı haber sunucusu Andy Carvin 103 bin takipçisine, gazetecilerin sahada her gün karşılaştıkları zorlukları hatırlattı:",train
"In this country all these illegal killings have been taken for granted, every death is an isolated incident.","Bu ülkede tüm bu yasa dışı ölümler hafife alınıyor, her ölüm münferit bir vaka.",train
"I called him, he's not answering.","Aradım, ama telefonuna cevap vermiyor.",train
Schools which were to open this week have been further shut down for two weeks more.,Bu hafta açılacak olan okullar iki hafta daha kapatıldı.,train
"In new #ISIS propaganda video, John Cantlie visits a school in Aleppo - empty of girls. http://t.co/T91nw3m0vN pic.twitter.com/cIvzJSZXFE — joanne mariner (@jgmariner) February 10, 2015","Yeni #ISIS propoganda vidyosunda, John Cantlie Halep'de bir okula gidiyor - kızlardan yoksun.",train
"Author Jonathan M. Katz, who has written a book documenting the United Nations response to the 2010 earthquake that devastated Haiti, explained that Haiti's standard of living is lower than that of the U.S. as a direct result of historical American policies towards the Caribbean country:","2010 yılında meydana gelen Haiti Depremi'nde Birleşmiş Milletler'in yaptıklarını kaleme alan yazar Jonathan M. Katz, Haiti'deki hayat standartlarının ABD'den daha düşük olma sebebinin Amerika'nın bu Karayip ülkesine yönelik eskiden beri uyguladığı politikalar olduğunu açıkladı:",train
"In an article in the newspaper El Salto, feminist activist Ana Burgos, who is from the region of Andalusia but lives in Catalonia, wondered, ""What is an Andalusian doing defending anything here, with all the Andalusphobic rubbish that I put up with every day"":","Feminist aktivist kimliğiyle Ana Burgos'un El Salto gazetesindeki yazısında ""Her gün katlanmak zorunda olduğum Endülüs saçmalıklarıyla hiçbir şeyi savunmayan Endülüslü burada ne yapıyor?"" sorusunu merak ettiği görülür.",train
Serbian press freedoms continue to decline,Sırbistan'da basın özgürlüğü giderek azalıyor,train
"In comments on Facebook posted early Tuesday, Das slammed the local member of parliament from the ruling Awami League party for criticising one of the country's top secular and science fiction writers.","Önceki salı Facebook'ta yaptığı yorumlarda Das, ülkenin en iyi laik ve bilim kurgu yazarlarını eleştirdiği için, iktidardaki Awami League Partisi'nden milletvekillerine veryansın etti.",train
16) Do not report sexual harassment of it happened in a deserted area.,16) Kimsenin olmadığı yerde olduysa yine cinsel tacizi bildirme.,train
"The nuclear blast yield of the latest hydrogen bomb test, according to Norwegian Seismic Array’s estimation, is up to 120 kilotons, which is the strongest of North Korea's six nuclear tests and more powerful than the two nuclear bombs dropped on Japan's Hiroshima and Nagasaki by the US during World War II.",Norveçli Sismik Array'ın tahminine göre bomba 120 kiloton ağırlığında ki bu Kuzey Kore'nin altı nükleer testinden daha güçlü olduğu anlamına geliyor ve ABD'nin 2.,train
"Since the words are already being stretched , wasn't the intent to say ""hopeless countries""?","bu kelimeler farklı noktalara çekiliyor fakat asıl amaç ""ümit vermeyen ülkeler"" diyebilmek değil miydi?",train
"Keszthelyi found himself in the middle of a whole movement, when Ferenc Falus, the National Medical Officer threatened him with a fine of HUF 1 million and the withdrawal of his license, because he refused to administer the state-provided flu vaccines for free.","Keszthelyi, hükümetin aşılarını ücretsiz bir şekilde insanlara yapmayı reddedince para cezası ve doktorluk lisansının geri alınması tehdidi ile karşı karşıya kaldı ve kendisini tartışmanın ortasında buldu.",train
"Juan Tadeo, our authority on all things Mexico would be Хуан Тадео in Cyrillic.",Meksika'daki yetkilimiz Juan Tadeo'nun ismi Kiril'de Хуан Тадео'dir.,train
February:,Şubat:,train
"Far worse than that, however, was the fact that we wouldn’t even be able to live together in Qatar.","Ancak, bundan daha kötüsü, Katar'da birlikte yaşayamayacağımız gerçeğiydi.",train
"This continues into university, where Saqafat-e-Islami (Islamic Culture) is a compulsory subject in all eight semesters of a four-year bachelor degree.",Saqafat-e Islami (İslam Kültürü) dersi dört yıllık bir lisans bölümünde sekiz dönem boyunca da zorunlu tutulmaktadır.,train
"This is a robbery!"": Protests Continue in Spain · Global Voices","Bu bir soygundur!"": İspanya'da Protestolar Devam Ediyor",train
"As I see it, Lagos will be the first state to legalise gay marriage in Nigeria.","Bana kalırsa, Lagos eşcinsel evliliğini yasalaştıran ilk eyalet olacak.",train
Chinese authorities can’t take a joke,Çinli yetkililer şaka yapamazlar,train
Sudhir Kekre remembers the Eid food delicacies:,Ramazan Bayramında yiyeceklerle ilgili anılarını hatırlıyor:,train
We had publicity contracts with the municipality of Múgica to do the job that all administrations must do: inform citizens.,Múgica vilayeti ile tüm yönetimlerin yapması gereken bir şey üzerine anlaşmamız var: İnsanları bilgilendirmek.,train
When and for whom?,Ne zaman ve kim için?,train
Iran's recent crackdown on the Ahwazi and other minority groups,İran'ın Ahvaz ve diğer etnik azınlıklara yaptığı son kısıtlamalar,train
Images remixed by editor.,Görüntüler editör tarafıdan düzenlenmiştir.,train
"Meanwhile, over 8,000 people descended on the People’s Committee Building in Lộc Hà district of Hà Tĩnh Province.",Bu arada Hà Tĩnh Eyaletinin Lộc Hà Bölgesindeki Halk Komitesi Binası'na 8 binin üzerinde insan indi.,train
"All of the above is true of the current by-election campaign taking place in a rural parish, which has national implications and added significance because of the one-seat majority of the incumbent Jamaica Labour Party in parliament.",Mecliste Jamaika İşçi Partisi Adayı'nın tek koltuk çoğunluğu elde etmesi üzerine ulusal önem kazanan mevcut ara seçim kampanyası için bu mahallede yukarıda belirtilenlerin hepsi geçerlidir.,train
"In 1942, as Nazi Germany bombarded Russia's second city, now called St. Petersburg, 16-year-old Altybasarova, who died last week on June 11, spared the evacuees from hunger and hosted them in a dormitory for local factory staff in her remote home village of Kurmenty, northeastern Kyrgyzstan.","Nazi Almanyası 1942 yılında, şimdiki adı St.Petersburg olan Rusya'nın ikinci en büyük şehrini bombardımana tutarken, geçen hafta 11 Haziran'da yaşamını yitiren zamanında 16 yaşındaki Altybasarova kuşatmadan tahliye edilenleri kuzeydoğu Kırgızistan'da bulunan küçük köyünde yerel bir fabrikanın işçi yatakhanesinde barındırdı ve açlıktan kurtardı.",train
Zeman lubricated with Becherovka got a gun loaded with Becherovka.,Becherovka dolu bir silah ile Becherovka dolu bir Zeman.,train
The 35-year-old Beheshti was a day laborer from a lower-income neighborhood outside of Tehran.,"35 yaşındaki Beheshti, Tahran’ın dışında düşük gelirli ailelerin yaşadığı bir mahallede gündelik işçi olarak çalışıyordu.",train
And here's his masterpiece:,Ve işte başyapıtı:,train
Brazilian tear gas has been used since the beginning of the protests in Istanbul on May 31.,"Brezilya yapımı biber gazı, İstanbul’da 31 Mayıs gününden (yani protestoların başlangıcından) beri kullanılıyor.",train
"It is estimated that more than half of all working age males seek jobs abroad, overwhelmingly in Russia.",Tahminlere göre iş çağındaki erkeklerin yarısından fazlası ağırlıkla Rusya olmak üzere yurt dışında çalışmak istiyor.,train
A petition co-signed by a group of university professors and scholars argued that the changes will end up weakening the Legislative Council’s power to counter-check the government:,Bir grup üniversite profesörü ve araştırmacı bir araya gelerek değişikliklere ilişkin bir dilekçe imzaladılar.,train
There is every likelihood this phenomenon will be disrupted if schoolchildren are exposed to the Latin alphabet from an earlier age.,Okul yaşındaki çocuklara Latin alfabesi öğretilmesiyle bu durumun yok olacağı kesindir.,train
"Instead they've been given these: pic.twitter.com/BSJ852r5mR — Max Blumenthal (@MaxBlumenthal) August 16, 2014","Yerine, bunlar verildi: pic.twitter.com/BSJ852r5mR — Max Blumenthal (@MaxBlumenthal) 16 Ağustos, 2014",train
"Despite other great qualities, or perhaps because of them, Afghans are never on time.","Diğer tüm harika özelliklere rağmen, ya da belki onlar yüzünden, Afganlar hep gecikirler.",train
"Probably it didn’t have that motive at the beginning, but the results show something completely different.",Ama öyle başlamasa da sonu çok farklı oldu.,train
International trademarks are often abused in ex-Soviet Central Asia.,Eski Sovyet Orta Asya bölgesinde uluslararası şirketler sıkça kötüye kullanılmakta.,train
Per was one of the people involved in the To Gaza march – as was Travis Randall – but other foreigners on that march have been in and out of Egypt since then without problems.,"Per -Travis Randall gibi- ""Gazzeye"" yürüyüşüne katılan insanlardandı, ama diğer yabancılar Mısır'a giriş ve çıkışlarda sorun yaşamadılar.",train
"He did his time, now let's celebrate his prize. — Lila A (@lila_afiouni) July 17, 2015","Bu sefer yaptı, şimdi ödülünü kutlamalıyız.",train
Recently there has been a lot of discussion about sexual abuse laws.,Son zamanlarda cinsel taciz yasaları konusunda birçok tartışma yaşanıyor.,train
"DIY, which bills itself as a bar for alternative thinkers, was frequented by many in Armenia’s gay community, a place considered a safe haven, free of judgment or discrimination.","The violent act, which caused around $4,000 of damage according to well-informed sources, is being said to have been motivated by nationalistic and fascist ideology – the bar’s gay-friendly atmosphere as well as owner Tsomak Oganesova’s attendance at Istanbul’s Gay Pride Parade in neighboring Turkey have been cited as two key factors that have categorized the attack as a hate crime.",train
The news was echoed on Twitter:,Haberler Twitter'da yankılandı:,train
The Minya riots left one police officer dead - a crime all 529 defendants are accused of.,El Minye ayaklanmaları bir polis memurunun ölümüne yol açtı; 529 sanığın suçlandığı bir vukuat.,train
"I told you not to enter there, and you said; 'I have to do it, what else I can do my sister, this is private sector they do not give insurance without working'.",Sana ’girme’ dedim.,train
Does the defense against the new flu really worth 6 billion forints for a society?,Yeni grip için savunma topluma malolan 6 milyar forint'e değer mi?,train
"The changes to the Council’s house rule could have a direct impact on a series of upcoming bills that potentially curb Hong Kong people’s rights and freedoms, university professor Sing Ming argued, quoting a comment from his friend on Facebook:",Üniversite profesörü Sing Ming Facebook'ta bir arkadaşının yorumunu alıntı yaparak Meclis iç yönetmeliğine ilişkin değişikliklerin Hong Kong halkının hak ve özgürlüklerini potansiyel olarak zapt eden gelecek tasarı dizisi üzerinde doğrudan bir etkisi olabileceğini ileri sürdü:,train
"Participants of the initiative have been expressing their commitment to live together with their peers from different ethnic groups by providing translations of the call, and also by producing various other works.","( Bu gelenek Ingiliz nefret ceza sistemine, nefret ve suç olarak nitelendirilmiştir.",train
"Now, more complex and lavish dishes like Biryani, a Mughal cuisine, is being increasingly chosen for menus.","Şimdi ise, Mughal mutfağı gibi daha zahmetli ve pahalı yemekler oldukça revaçta.",train
But why are movie theaters being closed down?,Ama sinema salonları neden kapanıyor?,train
You can also learn more by visiting its Facebook fan page.,Film hakkında daha fazla bilgiye Facebook Hayran sayfasından erişilebilir.,train
Image by Sanjeev Syal.,Görüntü: Ssanjeev Syal.,train
"He added, “Now I have to come back to Quetta some other day and this is huge mental stress for me.”","Ve ekledi , ""Şimdi Ketta'ya başka bir gün yeniden gelmem gerekecek ve bu benim için aşırı yorucu bir şey.""",train
"The effects of the nuclear fallout are still being felt: more than 500,000 people in Belarus, the country most affected by the disaster, have thyroid problems stemming from Chernobyl radiation, and more than 2 million people live in areas of the country that put them at high risk of contamination.","Nükleer atığın etkileri hala hissediliyor: Faciadan en çok etkilenen ülke Belarus'ta Çernobil radyasyonu nedeniyle 500.000'den fazla kişi tiroit problemi yaşıyor, 2 milyondan fazla kişi ise yüksek bulaşma derecesindeki bölgelerde bulunmakta.",train
"""Just because it's the literal equivalent doesn't mean it's the right word to use if you are aiming for some kind of literary effect,"" she says.","Edebi bir etki yaratmayı amaçlarken, kelimenin sadece birebir eşdeğer oluşu onun kullanılacak doğru kelime olduğu anlamına gelmez."" diye belirtiyor.",train
"Pristine reef of staghorn coral with juvenile batfish in Wayag Lagoon, Raja Ampat.","El değmemiş staghorn mercanı resifi ve yavru ephippidae balığı, Wayag Lagunu, Raja Ampat Adaları.",train
"An educational discourse that is confined to ""how to protect yourself"" – and gives PLWHA the role of vector – will only reinforce alterity and serophobia.","Salt ""Kendini nasıl korumalısın"" ile sınırlandırılmış ve PLWHA'ya hastalık taşıyıcı rolü yükleyen eğitsel bir söylem ötekileştirmeyi ve serofobiyi yalnızca pekiştirecektir.",train
Social media users blasted the minister's statement:,Sosyal medya kullanıcıları bakanın açıklamasına büyük tepki gösterdi:,train
"Use a tree instead of your photo…A piece of wood, a table…Use an image of a monkey, a female dog or a jennet …May Allah curse their empty turbans!",Kendi fotoğrafın yerine bir ağaç resmi kullan...,train
10:45 am.Credit: La Gente Anda Diciendo/Facebook,Fotoğraf: La Gente Anda Diciendo/Facebook,train
"One part of the ""enormous debate"" mentioned by Observer is between the authorities and general practitioner doctors.","Tartışmanın diğer tarafında ise, Observer'da anlatıldığı üzere, yetkililer ile pratisyen hekimler var.",train
I wish you were as active in dealing with people's problems as you are in fighting against beards.,Dilerdim ki sakallar ile kavga edileceğine bu insanların sorunlarıyla ilgilenilsin.,train
*Airstrikes in Yemen kill 6 Al-Qaida suspects.,*Yemen'deki hava saldırılarında 6 El Kaideli öldürüldü.,train
Such a shame that it was only his death that brought it about.,Bu adaletsizlikle yaşamak hepimize haramdır.,train
"“I’m not going to use Donald Trump’s word today — not because I never use bad language, but because the people of Haiti and elsewhere deserve respect.” —@patkiernan on @NY1 #MorningsOn1 — Jamie Stelter (@JamieStelter) January 12, 2018",Donald Trump'ın kullandığı tabiri ben kullanmayacağım.,train
Waited in the queue for the tickets and manged a seat in front of the screen.,Sırada bekledik ve filmi sahnenin önündeki ilk sıradan izledik.,train
And Jousha Foust tells his 17K followers:,Ve Jousha Foust 17 bin takipçisine iletiyor:,train
"Lima Orchid, a Flower Once Believed to Be Extinct, Blooms Again in the Peruvian Capital · Global Voices","Neslinin Tükendiğine İnanılan Lima Orkidesi, Peru'nun Başkentinde Yeniden Çiçekleniyor",train
