en,tr,split
"In one of these neighbourhoods , in Dağkapı , first cousins 12 year-old Yusuf Akalın and 11 year-old Büşra Akalın were killed because they were hit by shrapnel after an explosion hit their door when they were in the backyard .","Bu mahallelerden Dağkapı Mahallesinde , evinin avlusundayken kapıya isabet eden patlayıcı sonrası vücutlarına şarapnel parçası isabet eden amca çocukları 12 yaşındaki Yusuf Akalın ve 11 yaşındaki Büşra Akalın hayatını kaybetti .",train
"Rebull and her colleagues detailed their latest analysis of Pleiades spin rates in three new papers , soon to be published in the Astronomical Journal .",Rebull ve meslektaşları Ülker takım yıldızının dönüş hızları ile ilgili en yeni analizlerini kısa süre içinde Astronomi Dergisi ' nde yayınlanacak üç yeni makalede ayrıntılı olarak açıklamıştır .,train
"Hasan Selim said that in 60 years of his life , he had never seen such torrential rains and added , "" If the rains had continued for an hour longer , everything there would have been flattened "" .","Hasan Selim ise 60 yaşına geldiğini , bu yaşına kadar böyle bir yağmur görmediğini vurgulayarak , "" Eğer yağmur bir saat daha devam etseydi buralarda taş üstünde taş kalmazdı "" ifadesini kullandı .",train
126 people taken hostage were rescued during the operation which was carried out after the gun attack .,Silahlı saldırı sonrası yapılan operasyonda rehin alınan 126 kişi kurtarıldı .,train
We were going to leave as soon as it was finished .,Bitmesiyle bizim kalkmamız bir olacaktı .,train
Soldier s pump-action shotgun ’ turns sendoff into terror : Five-year old Yildizsu could lose her eyesight,Pompalı tüfekle asker uğurlama dehşeti : 5 yaşındaki Yıldızsu gözünü kaybedebilir,train
M.K. fired a single shot into the ground with pump-action shotgun while passing by a playground full of children .,M.K. çocuklarla dolu oyun alanının yanından geçtiği sırada pompalı tüfekle yere bir el ateş etti .,train
It is also possible for you to be stimulated with Carboxy therapy and gain weight through a healthy diet .,Sizin de karboksipunktur ile uyarılmanız ve sağlıklı beslenmeyle kilo almanız mümkün .,train
M.K. fired a single shot into the ground with pump-action shotgun while passing by a playground full of children .,M.K. çocuklarla dolu oyun alanının yanından geçtiği sırada pompalı tüfekle yere bir el ateş etti .,train
"The new data is helping astronomers understand why stars in the cluster spin at varying rates , as well as how rotation periods relate to planet formation .","Yeni veriler , gökbilimcilerin takım yıldızındaki yıldızların neden değişken hızla döndüğünü ve dönüş dönemlerinin gezegen oluşumu ile ilgisini anlayabilmesine yardımcı oluyor .",train
Another reason is your failure to digest the food you eat .,Bir diğer neden de yediğiniz besinleri sindirememenizdir .,train
