en,tr,partition
"The Balkans: ""Whose Is This Song?"" · Global Voices
","Balkanlar: Bu Şarkı Kimin?
",2009_01_20_balkans-whose-is-this-song_
"Recently several Macedonian bloggers published the documentary “Whose Is This Song?” by a Bulgarian director Adela Peeva on their blogs and started discussing the story.
","Son zamanlarda bazı Makedon blogcular Bulgar yönetmen Adela Peeva tarafından çekilmiş olan ""Bu Şarkı Kimin?"" isimli belgeseli kendi sitelerinde yayınladılar ve hikayeyi paylaştılar.
",2009_01_20_balkans-whose-is-this-song_
"The documentary was filmed as an idea that the director got during a dinner in Istanbul with several friends (a Macedonian, a Serb, a Greek and a Turk), when all of them said that the song playing in the background was from their country.
","Belgeseli çekme fikri yönetmenin İstanbul'da birkaç arkadaşıyla (bir Makedon, bir Sırp, bir Yunan ve bir Türk) yemek yerken herkesin çalan şarkının kendi ülkelerinden olduğunu iddia etmeleriyle ortaya çıkmış.
",2009_01_20_balkans-whose-is-this-song_
"First to publish a short review of the documentary was Arheo Blog:
","Bu konudaki ilk yazı Arheo Blog sayfasındaki kısa bir eleştiriydi:
",2009_01_20_balkans-whose-is-this-song_
"Although the documentary doesn’t have any political tendency, the search for an identity of a song shows the search for the identity and national impatience for the nations from the Balkans.
","Belgeselin politik bir yatkınlığı yoksa da şarkının kimliğini arayış Balkan milletlerinin kimlik arayışlarını ve sabırsızlıkarını gösteriyor.
",2009_01_20_balkans-whose-is-this-song_
"Instead of connecting them, not knowing the situation, in some moments Peeva has to deal with emotional reaction of the interviewed people thinking that she is offending them.
","Birbilerini buluşturmak yerine Peeva durumu bilmeden kendilerine saygısızlık yapıldığını düşünen insanların tepkileriyle uğraşmak zorunda kalıyor.
",2009_01_20_balkans-whose-is-this-song_
"Trying to connect the cultural heritage for the Balkans, this time through music, Adela Peeva at the end will conclude that it’s almost unbelievable how only one song with unknown background can create hatred in people.
","Balkanların tarihi mirasını müzik ile bağlamayı beklerken Adela Peeva sonunda geçmişi kesin olmayan bir şarkının insanlarda nasıl nefret uyandırdığını farkedecek.
",2009_01_20_balkans-whose-is-this-song_
"This is shown in the end of the movie, in the scene where one Fiesta is transformed into a field that is on fire and its save by “people from different ethnicities”.
","This is happening at the border between Bulgaria and Turkey.
",2009_01_20_balkans-whose-is-this-song_
"Although it’s a great documentary, I was intrigued by the two facts said in the movie – “That this is a war song and that the rhythms are from North Europe, because they are not typical for the Balkans”.
","Harika bir belgesel ve benim dikkatimi çeken iki bilgi şu oldu: ""Bu bir savaş şarkısı ve ritimler Kuzey Avrupa'dan geliyor olmalılar, çünkü Balkanlar'da sık karşılaşılan türden değiller.""
",2009_01_20_balkans-whose-is-this-song_
"It’s up to you to determine which song it is.
","Şarkının gerçekte ne olduğu size kalmış.
",2009_01_20_balkans-whose-is-this-song_
"When the post of Arheo Blog was shared on Kajmak.ot there were several reactions:
","Arheo Blog'daki yazı kajmak.ot'da paylaşıldığında başka tepkiler aldı:
",2009_01_20_balkans-whose-is-this-song_
"Arwena:
","Arwena:
",2009_01_20_balkans-whose-is-this-song_
"I don’t know why there is always a tendency to look for argument and reasons for national tendencies.
","Milliyetçi reflekslere neden mantık arandığını anlamıyorum.
",2009_01_20_balkans-whose-is-this-song_
"That is always the case for the Balkans, because politics is unavoidably connected with history.
","Balkanlar için durum bu çünkü politika doğal olarak tarihle bağlantılı.
",2009_01_20_balkans-whose-is-this-song_
"I stand by: “that the documentary doesn’t have any political tendencies”, because it’s made with another purpose.
","Belgeselin politik amacı olmadığına inanıyorum çünkü başka bir amaçla çekilmiş.
",2009_01_20_balkans-whose-is-this-song_
"Probably it didn’t have that motive at the beginning, but the results show something completely different.
","Ama öyle başlamasa da sonu çok farklı oldu.
",2009_01_20_balkans-whose-is-this-song_
"This is something that we have seen several times when there is mixture between cultural heritage and achievements of different ethnicities and civilizations.
","Kültürel miras ve başka kültür ve medeniyetlerin başarıları söz konusu olduğu zaman böyle sonuçları daha önce de görmüştük.
",2009_01_20_balkans-whose-is-this-song_
"Everything artistic that includes more sides, by the nature of this region will lead to nationalism and it will be considered as motive with political tendencies.
","Sanat gibi farklı açıları olan herşey, bu coğrafyanın doğası gereği milliyetçiliğe itilecektir ve amacının politik olduğu düşünülecektir.
",2009_01_20_balkans-whose-is-this-song_
"Zlochko:
","Zlochko:
",2009_01_20_balkans-whose-is-this-song_
"Yes, yes.
","It’s made by completely naive reasons to find the true origin of the song.
",2009_01_20_balkans-whose-is-this-song_
"That’s why she says to the Bosnians that the Serbs have the original (although she still hasn’t been in Serbia), she plays the Bosnian version to the Serbs, and to the Bulgarians she says that the Turks claim that the song is theirs.
","Bu yüzden Boşnaklara Sırpların orijinal şarkıya sahip olduklarını söylüyor (daha Sırbistan'a gitmeden), Sırplara Boşnak versiyonunu dinletiyor ve Bulgarlara şarkıyı Türklerin sahiplendiğini söylüyor.
",2009_01_20_balkans-whose-is-this-song_
"There is nothing naive in the documentary… and if it’s full with something it’s politics.
","Belgeselde saf olan hiçbirşey yok.
",2009_01_20_balkans-whose-is-this-song_
"But it’s good that it’s made in that way – it shows the nations here in the best way :).
","Ama böyle olması daha iyi, bu coğrafyadaki milletleri en iyi şekilde gözler önüne seriyor.
",2009_01_20_balkans-whose-is-this-song_
"The blogger Razvigor also published the video and wrote :
","Razvigor isimli blogcu da videoyu yayınladı ve şunları yazdı:
",2009_01_20_balkans-whose-is-this-song_
"The author of the film in the part for Albania said that she would return, and that really happened with her last movie “Divorce Albanian Style” .
","Arnavutluk bölümünde yönetmen geri döneceğini söylüyor ve gerçekten de ""Arnavut usülü Boşanma"" filmiyle geri dönüyor da.
",2009_01_20_balkans-whose-is-this-song_
"Is that movie available on the internet also?
","Acaba bu filmi de internette var mı?
",2009_01_20_balkans-whose-is-this-song_
"These are the things I was talking about when I was searching for the Macedonian Michael Moore .
","Makedonya'da bu şarkının iki versiyonu var, bir tanesi Prilep şehrinden “Oj ti Paco Drenovchanke” ve diğeri de Tetovo şehrinden “Oj devojche, ti Tetovsko jabolche.”
",2009_01_20_balkans-whose-is-this-song_
"South Asia: Celebrating Eid-Ul-Fitr · Global Voices
","Güney Asya Ramazan Bayramını Kutlarken
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"Yesterday Muslims in many South Asian countries celebrated Eid-ul-Fitr marking the end of Ramadan, the holy month of fasting.
","Dün birçok Güney Asya ülkesinde yaşayan Müslüman oruç tutulan Ramazan ayının sonunu gösteren Ramazan Bayramını kutlamaya başladılar.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"Many bloggers exchanged greetings and shared their rituals and traditions.
","Birçok blogcu birbirlerinin bayramlarını kutladılar, kendi gelenek ve göreneklerini paylaştılar.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"Pakistan:
","Pakistan:
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"Momina at Chowrangi explains different aspects of the Eid celebrations:
","Chowrangi (İng.) sitesinden Momina Ramazan Bayramının farklı yönlerini anlattı:
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"Eid is derived from the root word of `Aada meaning returned.
","Eid (çev. notu: Ramazan Bayramının İngilizcesi) kelimesi ""geri verilmiş"" anlamına gelen ""Aada"" kelimesinden gelir.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"We all know that we return to Eid periodically.
","Ramazan ayına da devinimli olarak geri dönüyoruz.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"It is also said to have been derived from ‘Aadah meaning a custom or a practice.
","Bu konudaki bir diğer kelime de ""Aadah"" ve ""gelenek"" anlamında kullanılır.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"The reason is that people customarily celebrate it.
","Bayram kutlaması insanlar için gelenek halini almıştır.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"Changing Up Pakistan remembers what Eid meant for her and her family while growing up.
","""CHUP: Pakistanı Değiştirmek"" (İng.) sitesinden Kalsoom da kendisi büyürken Ramazan Bayramının ailesi ve kendisi için ne anlama geldiğini yazmış:
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"Growing up, my favorite part of Ramadan and Eid ul-Fitr always centered around two things – my family and food.
","Ben büyürken Ramazan ve Ramazan Bayramı iki şey etrafında gelişirdi: Ailem ve yiyecekler.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"On Chand Raat, the night before Eid, I loved going to the market to buy bangles or get henna painted on my hands.
","Arefe günü pazara gidip bilezik almayı veya elime kına yaktırmaya bayılırdım.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"My memories of Eid as a child were flooded with color, bright new clothes, laughter, and the taste of sivaiyyan first thing in the morning.
","Ramazan Bayramı ile ilgili çocukluğumun anıları renklerle, yeni temiz giysilerle, kahkahalarla ve yenen yemeklerle dolu.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"As an adult, Ramadan has become increasingly a time to think about others around me, particularly the poor.
","Working in the development realm has helped put such issues into further context.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"A boy looks behind while others are doing rituals at the end of Ramadan month, on Eid Namaaz (prayers) at Bangalore, India.
","Şimdi bir yetişkin olarak Ramazan ayı başkalarını, özellikle de fakirleri düşünmem için bir zaman halini aldı.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"Image by Sandip Devnath http://www.flickr.com/photos/sandipd/ / CC BY-NC-ND 2.0
","Yardım alanında çalışmam da bu konuda daha fazla düşünmemi sağladı.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"India:
","Hindistan:
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"Sudhir Kekre remembers the Eid food delicacies:
","Ramazan Bayramında yiyeceklerle ilgili anılarını hatırlıyor:
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"When I moved to Hyderabad, Ramzan and Eid became a big part of our social calendar.
","Haydarabad'a taşındığımda Ramazan ve Bayram sosyal takvimimde önemli bir yere geldiler.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"A new world of mouth watering delicacies were introduced.
","Özellikle yeni tatlar Haydarabad'la eşleştirilmiş oldu.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"Haleem and nihari along with the biryanis and mirchi bhajjis became synonymous with Hyderabad.
","Blogcu aynı zamanda Hindular ile Müslümanlar arasındaki ilişki ile de ilgili yorumda bulundu:
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"The blogger also comments on the relationship between Hindu & Muslims:
","Perhaps festivals could be a good way of reducing the animosity between two communities.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"The Sacromento Bee blog posts pictures of Eid celebrations across India.
","The Sacramento Bee blogu (İng.) ise Hindistan'daki çeşitli kutlamalardan harika fotoğraflar yayınlamış.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"Bangladesh:
","Bangladeş:
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"""Eid is supposed to be a special day.
","""Ramazan Bayramının özel bir gün olması gerekiyordu.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"But today was strange,"" writes ulysses at Back To Bangladesh.
","Ama bugün gerçekten ilginçti"" diyor Back To Bangladeş'in yazarı ulysses.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"The blogger goes on to describe the experience of surviving an earthquake in Dhaka on the Eid day.
","Blogcu Daka'da Bayram günü gerçekleşen depremi anlatıyor.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"However there is a more worrying threat than earthquake for the Bangladeshis:
","Ama Bangladeşlilerin deprem daha fazla endişelendikleri bir tehdit daha var:
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"There are scary statistics about how many people would die from a severe earthquake in Dhaka.
","Daka'da olacak bir depremde kaç kişinin öleceği ile ilgili korkunç istatistikler var.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"But, truth be told, I worry more about adulterated food than any other issue facing Bd.
","Ama gerçeği söylemek gerekirse ben gıda sorunlarından daha çok endişeleniyorum.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"Maldives:
","Maldivler:
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"Kaidha tells poetically how the Eid festivities have reduced to a holiday with no significance:
","Kaidha Ramazan Bayramının nasıl önemsiz bir tatile dönüştüğünü şiirsel bir dille anlatıyor (İng.):
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"I remember a time when i was a kid, we would look forward to eid as being more than holiday
","Hatırlıyorum da, ben küçükken, Ramazan Bayramı sadece tatil değildi,
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"It's the day a big feast would be cooked and be visited by relatives
","Büyük kazanlarda yemeklerin yapılıp akrabaların bizi ziyaret ettiği bir gündü,
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"It's the day we would wear our new dresses and go to watch the marches
","Yeni elbiselerimizi giyip yürüyüşleri izlemeye çıktığımız bir gündü,
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"It's the day we would watch the fireworks of every colour blind the night sky
","Her renkten havai fişeğin gökyüzünü boyayışını izlediğimiz bir gündü,
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"However with time, Eid has become just another day we could just laze around at home and watch tv or facebook all day
","Ama zamanla, Ramazan Bayramı, evde tembellik edip tüm gün televizyon veya facebook izlediğimiz
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"Eid Mubarak to all our readers.
","Tüm okurlarımızın Ramazan Bayramı mübarek olsun.
",2009_09_22_south-asia-celebrating-eid-ul-fitr_
"Israel: ""Ajami"" Reveals Nuanced Look at Israeli Society · Global Voices
","İsrail: ""Ajami"" İsrail Toplumuna Farklı Bir Bakış Yöneltiyor
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"The film ""Ajami"" was the big winner at last night's Ophir Prizes and will continue on to international audiences as Israel's foreign film nominee for the 2010 Academy Awards.
","""Ajami"" isimli film dün geceki Ophir Ödüllerinde büyük ödülü aldı.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"""Ajami"" is named for the eponymous Jaffa neighborhood where the story unfolds.
","""Ajami"" ismi hikayenin geçtiği Yafa şehrindeki bir mahalleden geliyor.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"Written and directed by the Arab-Jewish team of Scandar Copti (a resident of Ajami) and Yaron Shani, ""Ajami's"" complex storyline reflects a popular narrative style in Israeli literature and film.
","Filmin karmaşık hikayesi İsrail edebiyatı ve sinemasındaki popüler anlatımı örneklendiriyor.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"With recent accolades piling up from the Ophir Prize and the Cannes and Jerusalem Film Festivals, ""Ajami's"" path is reminiscent of Israel's recent Oscar nominees, ""Beaufort"" and ""Waltz with Bashir.""
","Ophir Ödülü, Cannes ve Kudüs Film Festivallerinden alınan övgüler ""Ajami""nin yolunun yakın zamanda çıkan diğer Oskar adayı İsrail yapımı filmler olan ""Beaufort"" ve ""Waltz with Bashir""e benzeyebileceğini gösteriyor.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"To date, ""Ajami"" has been the recipient of Ophir Prizes for Best Film, Best Directing, Best Script, Best Editing, and Best Composition, as well as the Camera D'or- Special Mention at the Cannes Film Festival, and the Wolgin Prize for best feature film at the 2009 Jerusalem Film Festival.
","Şu zamana kadar ""Ajami"" Ophir Ödüllerinde En İyi Film, En İyi Yönetmen, En İyi Senaryo, En İyi Düzenleme ve En İyi Kompozisyon Ödülleri ile Cannes Film Festivalinde Camera D'or-Özel Seçim ve 2009 Kudüs Film Festivalinde Wolgin En İyi Film Ödüllerini kazandı.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"The movie's trailer is available via YouTube in Hebrew and Arabic with Hebrew subtitles (no English available at this time).
","Filmin fragmanı YouTube'da İbranice ve Arapça altyazılarla izlenebilir (İngilizce altyazılar şu anda yoktu).
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"You can also learn more by visiting its Facebook fan page.
","Film hakkında daha fazla bilgiye Facebook Hayran sayfasından erişilebilir.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"Yudit of OCCUPIED is intimately connected to the movie as she lives in the neighborhood where the story occurs.
","OCCUPIED sayfasının yazarı Yudit hikayenin anlatıldığı mahallede yaşıyor ve filmle çok şey paylaşmış.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"She reflects:
","Şunları yazıyor:
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"It hits you in the face, Scandar Kopti's and Yaron Sheni's movie ""Ajami""' bluntly.
","Ajami kelimenin tam manasıyla suratınıza tokat indiriyor.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"It's overpowering.
","Çok güçlü.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"And yes, this is where i live.
","It's about ""my"" neighbourhood.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"Of course this is not going to be an objective film review.
","Bu tarafsız bir film eleştirisi olmayacak.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"I know most, no, almost all of the actors, at least by face and some are very good friends.
","Neredeyse tüm aktörleri, hayır neredeyse değil, hepsini en azından sima olarak tanıyorum ve bazıları çok iyi arkadaşlarım.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"The cast has been trained, but they are not professional actors, just my neighbours, more or less playing themselves, situations they know, reacting naturally as they would have done were the story real.
","Aktörler eğitildiler ama profesyonel değiller, benim komşularım ve neredeyse kendilerini oynadılar, bildikleri durumlarda doğal tepkilerini verdiler, sanki hikaye gerçekmişçesine.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"It could have been real.
","Hepsi gerçek olabilirdi.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"""Ajami"" is also the subtitle of Yudit's blog.
","""Ajami"" aynı zamanda Yudit'in blog sayfasının da alt başlığı.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"Ajami, Agami or Adjami, or however you spell its name, it's home.
","Ajami, Agami ya da Adjami.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"In spite of all.
","Herşeye rağmen.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"The word ""home"" carries many associations.
","""Ev"" kelimesi birçok anlam ifade eder.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"Mine is located in Jaffa (Yafo), once (meaning before 1948) ""The Bride of the Sea"", now a slummy southern Tel Aviv suburb.
","Benimkisi Yafa'da, bir zamanlar (1948'den önce) ""Denizin Gelini"", şimdi Tel Aviv'in güney varoşu.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"Carmia of Kishkushim describes ""Ajami"" as:
","Kishkushim'den Carmia ise ""Ajami""yi şöyle anlatıyor:
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"A gripping tale of all the balagan that goes on in Ajami: relations between Jewish and Arab neighbours, West Bankers and Israeli Arabs, Christians and Muslims, and everything in between.
","Ajamideki kaosun insanı içine çeken hikayesi: Yahudi ve Arap komşuların ilişkileri, Batı Şeria ve İsrailli Araplar ile Hristiyanlar ve Müslümanlar, ve aradaki herkesin birbirleriyle olan ilişkileri.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"Ayelet Dekel of Midnight East chronicles her reactions upon viewing the film at the Jerusalem Film Festival.
","Midnight East'den Ayelet Dekel ise Kudüs Film Festivali'nde izlediği filmle ilgili duygularını anlatıyor:
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"If I had been given a summary of the movie’s plot, I might not have been attracted to it, as its events belong to a genre I don’t particularly like.
","Eğer filmin hikayesini bana birisi anlatsaydı ilgilenmeyebilirdim, çünkü filmde geçen olaylar sevdiğim konularda değil.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"Yet Ajami is so much more than its plot, as people are so much more than a description of the circumstances of their birth and the events of their lives.
","Ama Ajami anlattığı hikayeden çok daha fazlası, karakterler doğdukları durumdan ve yaşamlarındaki olaylardan çok daha fazlasını temsil ediyorlar.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"Dekel also gives us a peek into the real life of Ibrahim Frege, who plays Malek, whom she met backstage after the film.
","Dekel aynı zamanda filmden sonra tanıştığı Malek rolünü oynayan İbrahim Frege'nin gerçek yaşamına da ışık tutuyor:
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"19 year old Frege said he had never thought of acting.
","19 Yaşındaki Frege aktör olmanın aklının ucundan bile geçmediğini söylüyor.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"While still in school, friends who participated in workshops of “Peace Child Israel” (an organization founded in 1988 by David Gordon and Yael Drouyannoff to teach coexistence using theater and the arts) invited him to come along just for fun.
","Okuldayken arkadaşları vakit geçirmek için onu ""Barış Çocuk İsrail"" (tiyatro ve sanat aracılığıyla birlikte yaşamayı öğretmeyi amaçlayan David Gordon ve Yael Drouyannoff tarafından 1988'de kurulan bir dernek) derneğinin atölyelerine çağırdılar.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"He participated in the theater workshop for a year, and then received a phone call asking him if he would like to be in the movie.
","Frege bir sene boyunca tiyatro atölyesine katıldı ve bir filmde oynamak isteyip istemediğini soran bir telefon aldı.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"He thinks they were looking for someone with an accent similar to that which might be heard in Nablus, his character’s hometown.
","Frege'ye göre Nablus'a, oynadığı karakterin memleketine uygun bir aksan aranıyordu.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"Finally, film critic Yair Raveh of the Cinemascope blog postulates whether ""Ajami"" could garner an Oscar nod.
","Son olarak, Cinemascope blogundan film eleştirmeni Yair Raveh Ajami'nin Oskar alıp alamayacağına ilişkin yorumları:
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"Could “Ajami” become the third Israeli film in three years to get a nomination for best foreign language Oscar (after “Beaufort” and “Waltz With Bashir”)?
","Ajami son üç yılda (""Beaufort"" ve ""Waltz with Bashir""in ardından) üçüncü kez En İyi Yabancı Dil oskar adayı olabilir mi?
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"Regretfully, I have to say I doubt it.
","Üzülerek söylemeliyim ki, sanmıyorum.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"“Ajami” is an outstanding film, and in many ways a breakthrough in Israeli cinema, but it might be too realistic, gritty, true-to-life, and perhaps too confusing for the average Oscar voter.
","Ajami harika bir film ve birçok yönden İsrail sineması için bir dönüm noktası ama fazlasıyla gerçekçi ve Oskara oy verenler için fazla kafa karıştırıcı olabilir.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"And it lacks the pre-awards buzz that “Waltz With Bashir” had last year, and “Lebanon” is getting right now.
","Ve geçen sene ""Waltz with Bashir""in oluşturduğu ve şimdi ""Lebanon""un sahip olduğu heyecan eksik.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"But, who knows.
","Ama kim bilebilir ki?
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"Recommended Reading-
","Önerilen Okumalar
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"- Israel: Film Illustrates Problem of Closed Gaza Borders (Maya Norton)- Israeli bloggers respond to the short film ""Closed Zone,"" directed by Yoni Goodman
","İsrail: Bir Film Kapatılmış Gazze'nin Problemlerini gösteriyor (Maya Norton).
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"- Lebanon: Lebanese Bloggers React to Israeli Film ""Lebanon"" (Antoun Issa)- Responses from Lebanon on an Israeli film chronicling soldiers' experiences during the Lebanese civil war (1975- 1990).
","Lebanon: Lübnanlı blogcular İsrail yapımı Lebanon adlı filmi tartışıyorlar (Antoun Issa).
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"""Lebanon"" follows ""Waltz with Bashir"" as the second film on this topic from Israeli directors in two years
","""Lebanon"" İsrailli yönetmenlerin ""Waltz with Bashir""in ardından aynı konuyu işleyen ikinci filmleri.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"- Cannes Film Festival: Sources of Hope, Amid a Divide (Joan Dupont, New York Times)- three films about Israelis and Palestinians debuted at Cannes this year.
","Cannes Film Festivali: Bölünmüşlüğün Ortasında Umut Kaynakları (Joan Dupont, New York Times).
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"Dupont interviews ""Ajami"" directors Copti and Shani
","Dupont Ajami'nin yönetmenleri Copti ve Shani ile röportaj yaptı.
",2009_09_27_israel-ajami-reveals-nuanced-look-at-israeli-society_
"China: Nobel Dream · Global Voices
","Çin: Nobel Rüyası
",2009_10_22_china-nobel-dream_
"This month, the Chinese press and online forums are saturated with coverage of Charles Kao’s winning of the Nobel Prize in Physics.
","Bu ay Çin medyası ve çevrimiçi forumlar Charles Kao'nun Nobel Fizik Ödülü'nü kazanmasıyla ilgili haberlerle doldu.
",2009_10_22_china-nobel-dream_
"Yet another overseas Chinese scientist has snatched the prestigious prize, this temporary moment of shared glory is quickly turned into a more profound question: when would China produce its first indigenous Nobel Prize winner?
","Yurtdışında yaşayan bir Çinli bilim adamı daha bu prestijli ödülü almıştı, bu geçici ortak gurur bir süre sonra daha temel bir soruya dönüştü: Çin, Nobel Ödülü kazanan yerli birisini ne zaman yetiştirecekti?
",2009_10_22_china-nobel-dream_
"A commentary on Xinhua describes this psychology:
","Bir sonraki sene bu döngü tekrar ediyor.
",2009_10_22_china-nobel-dream_
"Egypt: Another journalist to be deported · Global Voices
","Mısır: Bir gazeteci daha sınır dışı edildi
",2009_09_29_egypt-another-journalist-to-be-deported_
