en,tr
"Imagine if you could surf Facebook ... from the Middle Ages. Well, it may not be as far off as it sounds. In a fun and interesting talk, researcher and engineer Frederic Kaplan shows off the Venice Time Machine, a project to digitize 80 kilometers of books to create a historical and geographical simulation of Venice across 1000 years. <em>(Filmed at TEDxCaFoscariU.)</em>","Facebook'ta Orta Çağ'a ait bir araştırma yaptığınızı düşünün... Şey, belkide göründüğü kadar olasılıksız değildir bu...Bu eğlenceli ve ilginç konuşma, araştırmacı ve mühendis Frederic Kaplan'ın, ""Venedik Zaman Makinesi"" adlı projesine ait. Bu proje kapsamında, 80 kilometre uzunluğundaki yazılı/basılı kaynak, dijital ortama aktarılarak Venedik'in 100 yıllık tarihi ve coğrafi geçmişini aktaran bir simülasyon yaratıldı. (TEDxCaFoscariU'da filme alınmıştır.)"
Frederic Kaplan: How to build an information time machine,Frederic Kaplan: Bir bilgi zaman makinası nasıl kurulur
"In the US, 80% of girls have been on a diet by the time they're 10 years old. In this honest, raw talk, neuroscientist Sandra Aamodt uses her personal story to frame an important lesson about how our brains manage our bodies, as she explores the science behind why dieting not only doesn't work, but is likely to do more harm than good. She suggests ideas for how to live a less diet-obsessed life, intuitively.","Diyetler genelde neden işe yaramaz? Amerika Birleşik Devletleri'nde, kız çocuklarının %80'i 10 yaşına gelmeden diyet yapmaya başlamış oluyorlar. Nörolog Sandra Aamodt bu doğal ve içten konuşmasında kendi hikayesinden yola çıkarak beynimizin vücudumuzu nasıl yönettiği konusunda öğretici bir çerçeve çizerken, diyet yapmanın işe yaramamakla kalmayıp fayda sağlamak yerine ne gibi zararlar verdiği konusundaki bilimsel gerçekleri irdeliyor. Sezgileri kullanmak yoluyla daha az diyet takıntılı bir yaşam sürebilmek için fikirler öne sürüyor."
Sandra Aamodt: Why dieting doesn't usually work,Sandra Aamodt: Diyetler genelde neden işe yaramaz?
"""I have cerebral palsy. I shake all the time,"" Maysoon Zayid announces at the beginning of this exhilarating, hilarious talk. (Really, it's hilarious.) ""I'm like Shakira meets Muhammad Ali."" With grace and wit, the Arab-American comedian takes us on a whistle-stop tour of her adventures as an actress, stand-up comic, philanthropist and advocate for the disabled.","""Serebral palsiyim. Durmadan titriyorum."" Maysoon Zayid neşeli, komik konuşmasına böyle başlıyor (Gerçekten çok komik bir konuşma) ""Shakira'nın Muhammet Ali'yle buluşması gibiyim."" Arap Amerikalı komedyen bizi, zeka ve nükteyle, oyuncu, stand-up komedyeni, hayırsever ve engelli hakları savunucusu olduğu macerasına ortak ediyor."
Maysoon Zayid: I got 99 problems... palsy is just one,Maysoon Zayid: 99 tane sorunum var... palsi bunlardan yalnızca biri
"Oklahoma City is a midsized town that had a big problem: It was among the most obese towns in America. Mayor Mick Cornett realized that, to make his city a great place to work and live, it had to become healthier too. In this charming talk, he walks us through the interlocking changes that helped OKC drop a collective million pounds (450,000 kilos).","Oklahoma şehri orta büyüklükte çok büyük sorunu olan bir kasaba: Amerikanın en obez şehirlerinden biriydi. Vali Mick Cornett şehrini çalışmak ve yaşamak için harika bir yer yapabilmek için, daha sağlıklı da olması gerektiğini farketti. Bu büyüleyici konuşmada vali OKC'nin birlikte bir milyon pound kadar (450,000 kilogram) kilo vermesi için birbirine bağlı değişimleri anlatıyor."
Mick Cornett: How an obese town lost a million pounds,Mick Cornett: Obez bir şehir nasıl kilo kaybetti
"In the pitch-black night, stung by jellyfish, choking on salt water, singing to herself, hallucinating … Diana Nyad just kept on swimming. And that's how she finally achieved her lifetime goal as an athlete: an extreme 100-mile swim from Cuba to Florida -- at age 64. Hear her story.","Alacakaranlıkta, denizanaları tarafından sokulmuş, tuzlu suda boğulan, kendi kendine şarkı söyleyen, halüsinasyon gören... Diana Nyad yüzmeye devam etti. Bir atlet olarak hayati boyunca hayalini kurduğu şeye böyle ulaştı: Küba'dan Florida'ya 160 kilometrelik mesafeyi yüzerek geçmek. -- 64 yaşında. Hikayesini dinleyin."
"Diana Nyad: Never, ever give up",Diana Nyad: Asla ve asla vazgeçme
"It's amazing what a rigged game of Monopoly can reveal. In this entertaining but sobering talk, social psychologist Paul Piff shares his research into how people behave when they feel wealthy. (Hint: badly.) But while the problem of inequality is a complex and daunting challenge, there's good news too. (Filmed at TEDxMarin.)","Hileli bir Monopoly oyununun ortaya çıkarabilecekleri inanılmaz. Bu eğlenceli ve uyarıcı konuşmada, sosyal psikolog Paul Piff, insanların zengin hissettiğinde nasıl davrandıkları hakkındaki araştırmasını paylaşıyor. (İpucu: kötü bir şekilde). Eşitsizlik probleminin karmaşık ve ürkütücü olmasında rağmen, iyi haberler de var. (TEDxMarin'de çekilmiştir.)"
Paul Piff: Does money make you mean?,Paul Piff: Para insanı bozar mı?
"Almost everything we own and use, at some point, travels to us by container ship, through a vast network of ocean routes and ports that most of us know almost nothing about. Journalist Rose George tours us through the world of shipping, the underpinning of consumer civilization.","Neredeyse sahip olduğumuz ve kullandığımız herşey bize konteyner gemileri aracılığı ile geliyor, okyanus rotalarının geniş ağından ve çoğumuzun adını bile duymadığı limanlardan. Gazeteci Rose George bizi gemi taşımacılığı dünyasından tüketici medeniyeti açılımına doğru bir tura götürüyor."
Rose George: Inside the secret shipping industry,Rose George: Gizli denizcilik endüstrisi içinde
"""An advanced city is not one where even the poor use cars, but rather one where even the rich use public transport,"" argues Enrique Peñalosa. In this spirited talk, the former mayor of Bogotá shares some of the tactics he used to change the transportation dynamic in the Colombian capital... and suggests ways to think about building smart cities of the future.","'Gelişmiş bir şehir fakirlerin de araba kullandığı bir şehir değil, daha ziyade zenginlerin dahi toplu ulaşım kullandığı bir şehirdir' diyor Enrique Peñalosa. Bu cesur konuşmada, Bogotá'nın eski belediye başkanı Kolombiya başkentinde ulaşım dinamiklerini değiştirmede kullandığı taktiklerden bazılarını paylaşıyor... ve gelecekte zeki şehirler kurma konusunda yollar öneriyor."
Enrique Peñalosa: Why buses represent democracy in action,Enrique Peñalosa: Otobüsler neden eylem halinde demokrasiyi temsil eder
"David Lang is a maker who taught himself to become an amateur oceanographer -- or, he taught a robot to be one for him. In a charming talk Lang, a Fellow, shows how he and a network of ocean lovers teamed up to build open-sourced, low-cost underwater explorers.","David Lang kendine amatör denizbilimci olmayı öğreten bir üretici. Ya da, bir robota kendi yerine denizbilimci olmayı öğreten diyelim. Etkileyici konuşmasında Dostumuz David bir okyanus severler ağıyla nasıl takım oluşturup açık kaynaklı, düşük maliyetli su altı kaşifleri ürettiklerini gösteriyor."
David Lang: My underwater robot,David Lang: Su altı robotum
