en,tr,split
"Cortbaoui said that Lebanon should not repeat ""the Palestinian precedent,"" pitting Palestinians once again as scapegoats, which is not new to Lebanese politics.","cortbaoui, lübnan hfilistik emsalindi tekrarla gerek söyle ve filistinli günah keçi ol say lübnan siyaset yeni birşey ol belir",train
"Fat women do not get anybody horny, so it's not possible that someone sexually harassed you.",şişman kadın kimse az yani biri sen cinsel taciz bulun imkan,train
She thinks it will be just like reading an undiscovered antique text.,bunun keşfet antik bir metin oku gibi ol düşün,train
The security of northeast China is most important.,kuzeydoğu çin güvenlik çok önem,train
Take a moment to appreciate this beautiful continent we are blessed to live on.,bize lütuf et bu güzel toprak kıymet anla için bir dakika ayır,train
The deadliest Ebola outbreak ever with 700 deaths since March has hit the West Africa region hard.,mart'tan beri 700 ölüm yol aç en amansız ebola salgın batı afrika bölge sert vur,train
"Mostafa Azizi was sentenced June 1 to five years in prison for “assembly and collusion against national security,” two years for “insulting the Supreme Leader,” and one year for “propaganda against the state.”",mostafa aziz 1 haziran tarihi hmilli güvenlik karşı birlik ve ihtilaftaf beş yıl hdin lider hakarettend iki yıl ve hdevlet karşı propoganda bir yıl hapis mahkum et,train
"The video, which features many prominent Lebanese personalities such as director Zeina Daccache and TV host Fouad Yammine as well as Cynthia Karam, Bruno Tabbal, Carole Abboud, Bechara Atallah, Rabih Salloum, Medea Azouri, Jana Younes, Christine Choueiri, Natacha Choufani, Yvonne el-Hachem, Pauline Haddad, Elie Youssef and André Nacouzi, calls for Lebanon to respect the Universal Declaration of Human Rights and to not discriminate against 'those who are different'.",yönetmen zeina daccache ve televizyon sunucu fouad yammin gibi lübnan seçkin kişilik bulun videoda fark olan yap ayrımcı son bul ve insan hak evrensel bildiri uy için çağrı bulun,train
"A year after the army launched a coup, Thailand is still suffering from political instability.",darbeden bir yıl sonrad tayland halen politik istikrar içeri,train
The happiness they feel when they are in the sea is so contagious that you really end a session with Tabra with the heart and spirit full of energy for all that these children transmit during the time they are connected with the ocean.,"""denizdeyken yaşa mutlu o kadar bulaş kid bu çocuk okyanus temas hal yay enerji için bir seans sev sev tabra son",train
"We also hope that his verdict will be overruled by the appeals court,” he said.",ayrıca bu hüküm yüksek mahkeme taraf geçersiz kır da um de,train
"Looking back, the thread that binds it all is the power of words.",geçmişe bak bu birbiri bağla köprü kelime güç,train
"""We're all one, one culture,"" said 21-year-old student Yusor Abu-Salha last year in an interview recorded by the StoryCorps project about growing up in the United States.","""hepimiz tekiz tek kültür",train
"In November 2013, the local government of the Bolivian capital La Paz declared the iconic cholita as ""intangible cultural heritage"" of the city.",kasım 2013 bolivya başkent la paz yerel yönetim ikonik cholita şehir hmanevi kültür mirasıf ilan et,train
More than 150 infractions were recorded across Algeria.,yasmine bouch şöyle yaz,train
"As part of the Satoyama Initiative, Japan's Tohoku University is working with the UNU-IAS to help revive the Matsushima ecosystem, including that of the island communities of Urato.",satoyama girişim bir parça ol japonya tohok üniversite unuisai ile urato ada topluluk da içer matsushum ekosistemi can için birlikte çalış,train
"Comments on her public thread ranged from calling the country ""third world"" in attitude to criticising the government for ""not putting laws in place to protect all citizens"", saying, it is ""truly heartbreaking and unfortunate that members of the LGBT community cannot be themselves"".","kamuoyuna yap yorum devlet "" vatandaş tamam koru için yasa koy gerekçe eleştir tutum ülke hüçüncü dünya ülke ol hlgbt topluluk kendi ol üz ve talih ol uza",train
