en,tr,partition
"Two people drowned in floods in Trabzon
","Trabzon ' da sel iki kişiyi yuttu
",newsdev2016
"The Ikisu creek overflowed on account of heavy rainfall in the district of Yomra in Trabzon .
","Trabzon ’ un Yomra ilçesinde etkili olan sağanak yağış nedeniyle İkisu deresi taştı .
",newsdev2016
"Two women disappeared in the floodwaters in the village of Tasdelen and the road to the village of Sayvan was closed .
","Taşdelen köyünde sele kapılan iki kadın kaybolurken , Sayvan köyü yolu ulaşıma kapandı .
",newsdev2016
"The body of one of the women drowned in the floods was found .
","Selde kayıp olan iki kadından birinin cesedine ulaşıldı .
",newsdev2016
"There was precipitation in the highlands of Yomra at around 15 : 00 .
","Yağış , Yomra ’ nın yüksek kesiminde saat 15.00 sıralarında etkili oldu .
",newsdev2016
"When the Ikisu creek overflowed , a section almost 200 meters of the road connecting Ikisu to Sayvan was flooded .
","İkisu deresi taşınca İkisu Köyü ’ nü Sayvan Köyü ’ ne bağlayan yolun yaklaşık 200 metrelik bölümü sular altında kaldı .
",newsdev2016
"One of the village s residents ’ , Ibrahim Karslı , said that work on opening the road had not started despite the authorities being alerted . “ The road has been closed for 3 hours .
","Yetkililere haber vermelerine rağmen yolun açılması için çalışma başlatılmamasından yakınan köy sakinlerinden İbrahim Karslı , "" Yol 3 saattir kapalı .
",newsdev2016
"We experience the same after every heavy rainfall .
","Her şiddetli yağışta aynı şeyi yaşıyoruz .
",newsdev2016
"We have alerted the authorities but no one has come so far .
","Yetkililere haber verdik ama gelen , giden yok .
",newsdev2016
"The local residents are unhappy .
","Vatandaşlar perişan oluyor .
",newsdev2016
"We endure this hardship every year .
","Her yıl bu sıkıntıyı yaşıyoruz .
",newsdev2016
"When the trees block the creek , the water reaches up to the road , ” he said .
","Ağaçlar dereyi tıkayınca su yola çıkıyor "" diye konuştu .
",newsdev2016
"ONE PERSON 'S BODY WAS FOUND
","BİR KİŞİNİN CESEDİNE ULAŞILDI
",newsdev2016
"The mayor of Yomra , Ibrahim Sağıroğlu , reported that the body of one of the women who drowned in the floods after heavy rainfall in the district has been found , the search for the other person was being continued .
","Yomra Belediye Başkanı İbrahim Sağıroğlu , ilçede etkili sağanak sonucu meydana gelen selde kaybolan iki kadından birinin cesedine ulaşıldığını , diğer kişiyi arama çalışmalarının devam ettiğini bildirdi .
",newsdev2016
"Sağıroğlu reminded that two women collecting nuts in the village of Taşdelen village were washed away in the floodwaters caused by yesterday 's torrential rains in the district .
","Sağıroğlu , ilçede dün etkili olan sağanak nedeniyle sel afetinin yaşandığını , Taşdelen köyünde fındık toplayan iki kadının sel sularına kapılarak kaybolduğunu anımsattı .
",newsdev2016
"Sağıroğlu said that the search was conducted until late in the night and started again early in the morning : “ Thanks to the machinery and work by the municipal corporation , the body of one of our fellow countrymen has been found , the search is being continued for the other , ” he said .
","Gece geç saatlere kadar süren arama çalışmalarının , sabah erken saatlerde yeniden başlatıldığını ifade eden Sağıroğlu , "" Belediye makinelerinin çalışması sonucu bir vatandaşımızın toprak altındaki cesedine ulaşıldı , diğerini arama çalışmaları devam ediyor "" dedi .
",newsdev2016
"Sağıroğlu added that the impact of the rainfall has diminished , the weather has become more sunny , and the search for the missing person and the work on closed roads were progressing easily .
","Yağışın etkisini yitirdiğini , yerini güneşli havaya bıraktığını belirten Sağıroğlu , kayıp kişiyi arama ve kapalı yollardaki çalışmaların rahatlıkla yürütüldüğünü sözlerine ekledi .
",newsdev2016
"He said that while the search for the missing women was in progress , the road to Tasdelen village is now open to traffic .
","Kaybolan kadınları arama çalışmaları sürerken , Taşdelen köyü yolunun ulaşma açıldığı bildirildi .
",newsdev2016
""" IT WOULD BE LEVELLED TO THE GROUND ""
",""" TAŞ ÜSTÜNDE TAŞ KALMAYACAKTI ""
",newsdev2016
"The residents of Tasdelen in the district of Yomra are trying to reconcile themselves to the loss and damage caused by the torrential floods and landslide .
","Trabzon ' un Yomra ilçesine bağlı Taşdelen köyünde vatandaşlar , sağanak sonucu meydana gelen sel ve heyelan afetinin yaralarını sarmaya çalışıyor .
",newsdev2016
"Derya , a resident of Tasdelen said that the rainfall continued for about three hours uninterruptedly and said "" It was not a rainfall , but a natural disaster "" .
","Taşdelen köyü sakinlerinden Derya yağmurun yaklaşık 3 saat aralıksız sürdüğünü belirterek , "" Yağmur değil sanki felaket yağdı "" dedi .
",newsdev2016
"Taşkara said that many people evacuated their homes fearing a landslide during the torrential rains ; "" We stopped collecting nuts .
","Yağmur sırasında heyelan tehlikesine karşı çok sayıda kişinin evlerini boşalttığını ifade eden Taşkara , "" Fındık toplamayı bıraktık .
",newsdev2016
"That is when such a disaster struck .
","Daha sonrasında da böyle bir felaket meydana geldi .
",newsdev2016
"The bride and her mother-in-law were collecting nuts during the flood .
","Heyelanda kaybolan gelin ve kayınvalide ise yağmur sırasında fındık topluyordu .
",newsdev2016
"They were trapped in a landslide on their way home , "" he said .
","Daha sonra evlerine dönerken heyelana yakalandılar "" diye konuştu .
",newsdev2016
"Taşkara added that supply of electricity and water to the village had been disrupted .
","Taşkara , köylerinde elektriğin kesik olduğunu ve sularının akmadığını da sözlerine ekledi .
",newsdev2016
"Hasan Selim said that in 60 years of his life , he had never seen such torrential rains and added , "" If the rains had continued for an hour longer , everything there would have been flattened "" .
","Hasan Selim ise 60 yaşına geldiğini , bu yaşına kadar böyle bir yağmur görmediğini vurgulayarak , "" Eğer yağmur bir saat daha devam etseydi buralarda taş üstünde taş kalmazdı "" ifadesini kullandı .
",newsdev2016
"Doğa College rewards success
","Doğa Koleji başarıyı ödüllendiriyor !
",newsdev2016
"Doğa College provides students with scholarships of up to 100 % based on their OYP scores .
","Doğa Koleji , öğrencilere OYP başarı puanına göre % 100 ’ e varan burs imkanı sağlıyor .
",newsdev2016
"To highlight the importance attributed to education , Doğa College , which is introducing new educational models in Turkey and the world with its innovative and visionary approach to education , supports successful students with 4-year scholarships of up to 100 % at Doğa Anatolian High Schools that have implemented the t-MBA education model .
","Yenilikçi ve vizyoner eğitim anlayışıyla Türkiye ve dünyaya yepyeni eğitim modelleri kazandıran Doğa Koleji , eğitime verdiği önemi vurgulamak için başarılı öğrencileri , t-MBA eğitim modelinin uygulandığı Doğa Anadolu Liselerinde 4 yıl boyunca % 100 ’ e varan burs imkanıyla destekliyor .
",newsdev2016
"Students start courses at the University and their lives ahead by studying business administration education while they are still at high school with the t-MBA graduate program for high schools that is offered only by Doğa College Anatolian High Schools .
","Sadece Doğa Koleji Anadolu Liselerinde uygulanan , liseler için yüksek lisans programı olan t-MBA ile öğrenciler , daha lise sıralarında işletme eğitimi alarak , üniversiteye ve hayata önde başlıyor .
",newsdev2016
"Doğa College achieved the highest SBS school average for the past three years successively and it encourages success by rewarding students with scholarships in addition to supporting education .
","Son 3 yıldır üst üste SBS ’ de en başarılı okul ortalamasına ulaşan Doğa Koleji , öğrencilere sunduğu burs imkanları ile başarıyı ödüllendirerek teşvik ediyor ve eğitime destek veriyor .
",newsdev2016
"The scholarships are valid for 4 years at Doğa Anatolian High Schools implementing the t-MBA education model and vary from 5 % to 100 % of the costs depending on the students scores ’ .
","t-MBA eğitim modelinin uygulandığı Doğa Anadolu Liseleri ’ nde 4 yıl boyunca geçerli olan burslar , öğrencinin başarı puanına göre % 5 ’ ten % 100 ’ e kadar değişiyor .
",newsdev2016
"Doğa College offers scholarships of 100 % to students with an OYP score of 491 and above , 80 % scholarships to those with scores between 481 and 490 , 60 % to those with scores between 471 and 480 , and 50 % to students with scores between 451 and 470 .
","OYP ’ de 491 ve üzeri puan alan öğrencileri % 100 burs ile ödüllendiren Doğa Koleji , 481-490 arasında puan alan öğrencilere % 80 , 471-480 arası puan alan öğrencilere % 60 ve 451-470 arası puan alan öğrencilere % 50 burs imkanı sunuyor .
",newsdev2016
"Doğa College offers scholarships ranging from 5 % to 40 % to students with OYP scores between 321 and 450 to support and sponsor student success .
","Doğa Koleji , öğrenci başarısını teşvik etmek için 321-450 arası OYP puanı alan öğrencileri de % 5 ’ ten % 40 ’ a kadar değişen oranlarda burs ile ödüllendiriyor .
",newsdev2016
"Turkey 's most successful students opt for pursuing a t-MBA .
","Türkiye ’ nin en başarılı öğrencileri t-MBA ’ i tercih ediyor .
",newsdev2016
"Turkey ’ s most successful students whose SBS scores make them eligible for scholarships from many schools choose the t-MBA education model , which is offered to Turkey and the world by Doğa College s innovative and visionary educational approach ’ .
","SBS ’ de elde ettikleri başarı puanıyla pek çok okuldan burs olanağı kazan Türkiye ’ nin en başarılı öğrencileri , Doğa Koleji ’ nin yenilikçi ve vizyoner eğitim anlayışıyla Türkiye ve dünyaya kazandırdığı t-MBA eğitim modelini tercih ediyor .
",newsdev2016
"Students start university and their career by completing courses on business administration while still at high school with the t-MBA high school graduate programme offered only by Doğa College Anatolian High schools .
","Sadece Doğa Koleji Anadolu Liseleri ’ nde uygulanan , liseler için yüksek lisans programı t-MBA ile öğrenciler , daha lise sıralarında işletme eğitimi alarak , üniversiteye ve hayata önde başlıyor .
",newsdev2016
